Reg_Metropolitana;Sub_Região;Linha;Operadora;Fantasia;Situacao;Tarifa;Inicio_Situacao;Denominacao_A;Denominacao_B;Via;Servico;Modo;ExtensaoAB;ExtensaoBA;Tipo_Veiculo;Frota_Excl_Du;Frota_Tot_Du;Frota_Excl_SA;Frota_Tot_SA;Frota_Excl_DF;Frota_Tot_DF;Viagem_DU_Ida;Viagem_DU_Volta;Viagem_SA_Ida;Viagem_SA_Volta;Viagem_DO_Ida;Viagem_DO_Volta;Tempo_Ciclo;Tempo_Ciclo_ida;Tempo_Ciclo_volta
RMSP;ÁREA 1             ;001;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"4,4";14/03/2020;ITAPECERICA DA SERRA (PARQUE PARAISO);SAO PAULO (METRO CAPAO REDONDO);;COMUM               ;RADIAL;"14,922";"16,029";ÔNIBUS URBANO;20;20;10;10;6;6;153;169;96;96;66;66;120;55;55
RMSP;ÁREA 1             ;002;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"4,4";26/01/2020;EMBU DAS ARTES (ENGENHO VELHO);SAO PAULO (METRO CAPAO REDONDO);ITAPECERICA DA SERRA (JOAO MANDU);COMUM               ;RADIAL;"22,612";"22,73";ÔNIBUS URBANO;3;3;2;2;0;0;24;24;16;16;0;0;150;65;75
RMSP;ÁREA 1             ;012;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"5,05";26/01/2020;EMBU-GUACU (CIPO);SAO PAULO (TERMINAL GRAJAU);;COMUM               ;RADIAL;"23,288";"25,258";ONIBUS URB.PORTA ESQUERDA;6;6;3;3;2;2;34;34;24;24;14;14;120;55;55
RMSP;ÁREA 1             ;030;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"4,8";26/01/2020;JUQUITIBA (BARNABES);ITAPECERICA DA SERRA (VALO VELHO);SAO LOURENCO DA SERRA (CENTRO);COMUM               ;RADIAL;"71,037";"67,598";ÔNIBUS URBANO;20;20;18;18;14;14;80;81;72;73;61;61;250;120;120
RMSP;ÁREA 1             ;030BI1;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"4,8";26/01/2020;JUQUITIBA (BAIRRO DOS JUSTINOS);ITAPECERICA DA SERRA (VALO VELHO);SAO LOURENCO DA SERRA (CENTRO);COMUM               ;RADIAL;"60,095";"56,552";ÔNIBUS URBANO;0;4;0;4;0;0;5;4;5;4;0;0;250;120;120
RMSP;ÁREA 1             ;031;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"3,9";23/03/2020;EMBU-GUACU (CHACARA FLORIDA);ITAPECERICA DA SERRA (VALO VELHO);ITAPECERICA DA SERRA (CENTRO);COMUM               ;RADIAL;"26,296";"27,632";ÔNIBUS URBANO;3;3;3;3;0;0;22;23;22;23;0;0;150;70;70
RMSP;ÁREA 1             ;032;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"5,8";10/02/2020;ITAPECERICA DA SERRA (PARQUE PARAISO);SAO PAULO (PINHEIROS);;COMUM               ;RADIAL;"30,915";"32,735";ONIBUS URB.PORTA ESQUERDA;49;49;26;26;13;13;189;189;139;139;84;84;200;90;100
RMSP;ÁREA 1             ;032DV1;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"5,8";10/02/2020;ITAPECERICA DA SERRA (PARQUE PARAISO);SAO PAULO (PINHEIROS);EMBU DAS ARTES (CENTRO) - NOTURNO;COMUM               ;RADIAL;"34,625";"36,095";ONIBUS URB.PORTA ESQUERDA;0;6;0;8;0;4;4;4;5;5;4;4;170;80;80
RMSP;ÁREA 1             ;033;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"5,8";08/02/2020;EMBU DAS ARTES (ENGENHO VELHO);SAO PAULO (METRO MORUMBI);;COMUM               ;RADIAL;"20,071";"20,487";ONIBUS URB.PORTA ESQUERDA;10;10;7;7;4;4;75;75;58;58;36;36;150;70;75
RMSP;ÁREA 1             ;034;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"3,9";26/01/2020;ITAPECERICA DA SERRA (JARDIM SAO MARCOS);ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS);SAO PAULO (PARQUE SANTA BARBARA);COMUM               ;RADIAL;"19,103";"20,865";ÔNIBUS URBANO;3;3;3;3;2;2;24;25;25;25;17;18;145;70;65
RMSP;ÁREA 1             ;035;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"6,8";26/01/2020;COTIA (MIRANTE DA MATA);SAO PAULO (METRO BUTANTA);;COMUM               ;RADIAL;"31,217";"31,657";ÔNIBUS URBANO;13;13;12;12;9;9;75;75;70;70;56;56;150;70;70
RMSP;ÁREA 1             ;036;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"7,8";26/01/2020;VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS);SAO PAULO (METRO MORUMBI);;COMUM               ;RADIAL;"38,81";"36,63";ÔNIBUS URBANO;4;4;0;0;0;0;11;11;0;0;0;0;160;75;75
RMSP;ÁREA 1             ;036BI1;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"5,65";26/01/2020;EMBU DAS ARTES (JARDIM TOME);SAO PAULO (METRO MORUMBI);COTIA (RODOVIA RAPOSO TAVARES);COMUM               ;RADIAL;"18,57";"18,58";ÔNIBUS URBANO;1;3;0;0;0;0;3;2;0;0;0;0;110;50;50
RMSP;ÁREA 1             ;056;CONSÓRCIO INTERVIAS;INTERVIAS;EM OPERACAO;"5,85";26/01/2020;EMBU DAS ARTES (CENTRO);SAO PAULO (METRO CAMPO LIMPO);SAO PAULO (ESTRADA DO CAMPO LIMPO);COMUM               ;RADIAL;"16,209";"19,897";ÔNIBUS URBANO;8;8;7;7;4;4;61;61;52;52;28;28;130;60;60
