"";"ID_FAM";"FE_FAM";"valor_total";"valor_SPTtrans";"ren_fam"
"1";"000100011";15,416667;12,05;3,63;1366,29
"2";"000100021";15,416667;17,6;0;1600
"3";"000100081";15,416667;8,8;0;1789,79
"4";"000100091";15,416667;22;0;1431,832
"5";"000100111";15,416667;8,8;4,4;0
"6";"000100181";15,416667;36,92;20,46;0
"7";"000100201";15,416667;15,3;7,26;1161,95
"8";"000100221";15,416667;0;0;6000
"9";"000100241";15,416667;13,2;0;1549,26666666667
"10";"000100271";30,038462;15,3;7,26;4750
"11";"000100301";30,038462;9,66;9,66;961,396666666667
"12";"000100311";30,038462;16,45;3,63;1695,705
"13";"000100341";30,038462;8,8;0;0
"14";"000100391";30,038462;19,32;19,32;961,396666666667
"15";"000100401";30,038462;15,3;7,26;936,22
"16";"000100431";30,038462;9,66;9,66;750
"17";"000100441";30,038462;4,4;4,4;5000
"18";"000100491";30,038462;8,8;0;250
"19";"000103091";15,416667;8,8;0;1000
"20";"000103381";15,416667;0;0;800
"21";"000103451";15,416667;9,66;9,66;900
"22";"000106591";30,038462;8,8;4,4;750
"23";"000106711";30,038462;8,8;0;988,17
"24";"000106751";30,038462;8,8;0;1050
"25";"000106821";30,038462;0;0;5000
"26";"000106911";30,038462;0;0;1127
"27";"000107181";30,038462;7,65;3,63;2884,19
"28";"000107461";30,038462;4,4;0;2104,54
"29";"000107621";30,038462;0;0;1000
"30";"000107741";30,038462;20,47;3,63;1522,11
"31";"000108001";30,038462;9,66;9,66;2270
"32";"000200131";34,678571;8,8;0;988,17
"33";"000200191";34,678571;15,3;7,26;900
"34";"000203121";34,678571;22;6,6;2000
"35";"000203181";34,678571;0;0;500
"36";"000203211";34,678571;8,8;0;4000
"37";"000203271";34,678571;8,8;4,4;1294,465
"38";"000203301";34,678571;4,4;0;3044,22
"39";"000203331";34,678571;15,3;7,26;775
"40";"000203811";34,678571;0;0;900
"41";"000203841";34,678571;0;0;1250
"42";"000204981";34,678571;13,2;13,2;720
"43";"000205581";34,678571;9,23;4,83;450
"44";"000205641";34,678571;8,8;0;1606,565
"45";"000206541";34,678571;8,8;0;1669,5
"46";"000208031";68,75;18,46;9,66;1789,79
"47";"000208121";68,75;13,2;13,2;2261,5
"48";"000208221";68,75;0;0;3000
"49";"000208301";68,75;8,8;4,4;1889,095
"50";"000208311";68,75;4,4;4,4;2201,73
"51";"000208431";68,75;8,8;0;1250
"52";"000208521";68,75;8,8;8,8;840,38
"53";"000216601";45,166667;8,8;0;2344,56
"54";"000217231";45,166667;8,8;0;733,333333333333
"55";"000300121";129,971429;8,8;0;2000
"56";"000300371";129,971429;0;0;2800
"57";"000300391";129,971429;8,8;8,8;936,22
"58";"000307051";129,971429;0;0;714,695
"59";"000307211";129,971429;44,57;10,89;1789,79
"60";"000307251";129,971429;8,8;8,8;1250
"61";"000307321";129,971429;18,46;9,66;1427
"62";"000307501";129,971429;9,66;9,66;1606,565
"63";"000307541";129,971429;0;0;6300
"64";"000307801";129,971429;18,03;4,83;1500
"65";"000307821";129,971429;8,8;0;1050
"66";"000308351";129,971429;19,32;19,32;988,17
"67";"000308441";129,971429;9,66;9,66;3000
"68";"000308871";129,971429;0;0;2150
"69";"000309031";129,971429;9,66;9,66;2500
"70";"000322711";316,833333;29,36;16,92;1200
"71";"000322741";316,833333;15,3;7,26;1700
"72";"000322841";316,833333;43,0545454545455;0;4000
"73";"000322871";316,833333;8,8;0;1161,95
"74";"000323461";316,833333;0;0;2221,31
"75";"000326331";43;53,975;22;1384,61538461538
"76";"000326461";43;4,83;4,83;1100,865
"77";"000400031";165,714286;7,65;3,63;2029,48
"78";"000400051";165,714286;8,8;8,8;3450
"79";"000400061";165,714286;48,4;8,8;1078,72083333333
"80";"000400101";334,636364;9,15;0;2800
"81";"000400141";334,636364;21,9;13,86;1688,33333333333
"82";"000400161";334,636364;12,05;8,03;1000
"83";"000400201";334,636364;12,48;8,46;4600
"84";"000400401";193,619048;8,8;0;3900
"85";"000400411";193,619048;10,475;0;16000
"86";"000400451";193,619048;9,23;4,83;3000
"87";"000400461";193,619048;0;0;900
"88";"000400491";193,619048;20,85;8,03;3900
"89";"000403161";165,714286;0;0;800
"90";"000403201";165,714286;8,8;0;2474,645
"91";"000411761";334,636364;4,4;0;0
"92";"000411991";334,636364;9,66;9,66;1226,42
"93";"000412131";334,636364;8,8;8,8;1042,995
"94";"000413321";334,636364;8,8;8,8;1161,95
"95";"000415571";334,636364;12,05;8,03;1000
"96";"000419051";334,636364;9,66;9,66;900
"97";"000420321";193,619048;4,83;4,83;5000
"98";"000420391";193,619048;8,8;8,8;1789,79
"99";"000420441";193,619048;9,23;4,83;800
"100";"000420481";193,619048;2,2;2,2;15000
"101";"000420661";193,619048;0;0;1366,29
"102";"000420851";193,619048;17,6;17,6;398,1
"103";"000421231";193,619048;4,4;4,4;2600
"104";"000422751";193,619048;15,3;7,26;2726,175
"105";"000423581";334,636364;9,66;9,66;6000
"106";"000423741";193,619048;8,8;8,8;2986,5
"107";"000425511";334,636364;8,8;0;1789,79
"108";"000425931";193,619048;8,8;0;3550
"109";"000500111";295,076923;8,8;0;1300
"110";"000500141";295,076923;13,2;0;1266,66666666667
"111";"000500181";295,076923;4,4;4,4;2000
"112";"000500331";174,882353;9,66;9,66;1100,865
"113";"000500371";45,214286;24,1;7,26;3811,785
"114";"000503011";101,333333;8,8;0;1789,79
"115";"000503021";101,333333;8,8;8,8;2500
"116";"000503041";101,333333;0;0;600
"117";"000503311";101,333333;9,66;9,66;1789,79
"118";"000508721";295,076923;4,4;4,4;2000
"119";"000509191";295,076923;0;0;6000
"120";"000513531";174,882353;0;0;1889,095
"121";"000513681";174,882353;8,8;0;1522,11
"122";"000513721";174,882353;17,6;0;847,8525
"123";"000513841";174,882353;0;0;1226,42
"124";"000514291";174,882353;8,8;0;1695,705
"125";"000514481";174,882353;8,8;0;650
"126";"000515431";174,882353;9,66;9,66;1650
"127";"000515481";174,882353;19,7;7,26;1329,27333333333
"128";"000520401";45,214286;17,6;0;2299,01714285714
"129";"000520701";45,214286;8,8;8,8;3421,565
"130";"000520741";45,214286;0;0;1400
"131";"000520771";45,214286;8,8;8,8;1789,79
"132";"000520791";45,214286;0;0;4500
"133";"000600021";51;8,8;8,8;950
