"";"ID_PESS";"FE_PESS";"CD_ATIVI";"valor_total";"valor_SPTtrans";"ren_fam_ind";"ID_FAM";"FE_FAM"
"1";"00010001102";16,663976;1;12,05;3,63;1366,29;"000100011";15,416667
"2";"00010002103";19,802278;1;8,8;0;800;"000100021";15,416667
"3";"00010002104";19,532274;5;8,8;0;800;"000100021";15,416667
"4";"00010008101";19,532274;1;8,8;0;894,895;"000100081";15,416667
"5";"00010008102";19,532274;4;0;0;894,895;"000100081";15,416667
"6";"00010009101";16,663976;1;8,8;0;715,916;"000100091";15,416667
"7";"00010009102";19,532274;1;13,2;0;715,916;"000100091";15,416667
"8";"00010011101";19,532274;5;8,8;4,4;0;"000100111";15,416667
"9";"00010018101";19,532274;5;4,4;4,4;0;"000100181";15,416667
"10";"00010018102";95,598972;6;4,4;4,4;0;"000100181";15,416667
"11";"00010018103";95,598972;6;4,4;4,4;0;"000100181";15,416667
"12";"00010018104";19,532274;1;23,72;7,26;0;"000100181";15,416667
"13";"00010020104";19,532274;1;15,3;7,26;1161,95;"000100201";15,416667
"14";"00010022101";18,72107;1;0;0;6000;"000100221";15,416667
"15";"00010024101";16,663976;1;8,8;0;774,633333333333;"000100241";15,416667
"16";"00010024102";19,532274;5;4,4;0;774,633333333333;"000100241";15,416667
"17";"00010027103";32,519565;1;15,3;7,26;4750;"000100271";30,038462
"18";"00010030101";38,117017;7;0;0;480,698333333333;"000100301";30,038462
"19";"00010030102";32,519565;1;9,66;9,66;480,698333333333;"000100301";30,038462
"20";"00010031101";32,519565;1;7,65;3,63;847,8525;"000100311";30,038462
"21";"00010031102";38,117017;1;8,8;0;847,8525;"000100311";30,038462
"22";"00010034101";38,117017;5;8,8;0;0;"000100341";30,038462
"23";"00010034102";48,173294;8;0;0;0;"000100341";30,038462
"24";"00010034103";48,173294;8;0;0;0;"000100341";30,038462
"25";"00010039101";32,519565;1;9,66;9,66;480,698333333333;"000100391";30,038462
"26";"00010039102";32,519565;1;9,66;9,66;480,698333333333;"000100391";30,038462
"27";"00010040102";38,117017;1;15,3;7,26;936,22;"000100401";30,038462
"28";"00010043101";38,117017;1;9,66;9,66;375;"000100431";30,038462
"29";"00010043103";38,643928;8;0;0;375;"000100431";30,038462
"30";"00010044101";32,519565;1;4,4;4,4;5000;"000100441";30,038462
"31";"00010049101";38,117017;2;8,8;0;250;"000100491";30,038462
"32";"00010309102";16,663976;1;8,8;0;1000;"000103091";15,416667
"33";"00010338101";18,72107;2;0;0;800;"000103381";15,416667
"34";"00010345101";19,532274;1;9,66;9,66;900;"000103451";15,416667
"35";"00010659101";32,519565;1;8,8;4,4;750;"000106591";30,038462
"36";"00010671101";38,117017;7;8,8;0;329,39;"000106711";30,038462
"37";"00010671104";38,117017;5;0;0;329,39;"000106711";30,038462
"38";"00010671105";48,173294;8;0;0;329,39;"000106711";30,038462
"39";"00010675101";38,117017;1;8,8;0;1050;"000106751";30,038462
"40";"00010682101";36,533962;4;0;0;5000;"000106821";30,038462
"41";"00010691102";38,117017;8;0;0;1127;"000106911";30,038462
"42";"00010718101";38,117017;1;7,65;3,63;2884,19;"000107181";30,038462
"43";"00010746101";38,117017;8;4,4;0;2104,54;"000107461";30,038462
"44";"00010762101";36,533962;4;0;0;1000;"000107621";30,038462
"45";"00010774101";38,117017;1;11,67;3,63;761,055;"000107741";30,038462
"46";"00010774102";32,519565;1;8,8;0;761,055;"000107741";30,038462
